0000073c,00000001,18
0000077c,00000001,299
000007a8,00000002,512
0000078c,00000001,547
00000794,00000001,805
000007e8,00000244,1019
00000810,00000001,1206
000007bc,00000001,1407
00000804,00000007,1514
000007bc,00000001,1559
00000808,00000001,1585
00000794,00000001,1870
00000808,00000001,2013
00000794,00000001,2393
000007e8,00000244,2664
00000768,00000001,2787
0000077c,00000001,3256
000007dc,00000002,3492
0000078c,00000001,3609
00000818,00000001,3908
00000810,00000001,4058
00000804,00000007,4585
000007bc,00000001,4906
000007e8,00000244,4984
00000770,00000002,5071
000007d4,00000001,5392
00000754,00000002,5826
0000077c,00000001,6042
00000814,00000001,6151
00000808,00000001,6206
00000794,00000001,6234
00000808,00000001,6520
000007f0,00000001,6935
00000770,00000002,7144
00000810,00000001,7519
00000810,00000001,7947
0000078c,00000001,8401
00000818,00000001,8900
00000778,0000000c,9161
00000808,00000001,9515
000007bc,00000001,9698
00000794,00000001,9790
000007d4,00000001,10108
00000818,00000001,10507
000007d4,00000001,10707
000007dc,00000002,11080
00000818,00000001,11505
00000794,00000001,11958
0000078c,00000001,12185
000007f8,00000002,12300
000007a8,00000002,12597
0000077c,00000001,12745
0000078c,00000001,13117
00000770,00000002,13248
000007e8,00000244,13399
000007e8,00000244,13437
00000794,00000001,13584
0000077c,00000001,13753
000007f0,00000001,13838
00000814,00000001,13881
00000770,00000002,13904
000007bc,00000001,14186
00000814,00000001,14328
000007bc,00000001,14671
000007d4,00000001,14843
00000778,0000000c,15180
00000768,00000001,15604
00000818,00000001,15822
00000768,00000001,16203
000007dc,00000002,16395
000007bc,00000001,16810
000007e8,00000244,17069
00000818,00000001,17210
00000860,00000002,17683
000007dc,00000002,18191
00000768,00000001,18684
00000778,0000000c,19182
00000818,00000001,19415
000007d4,00000001,19777
00000778,0000000c,20209
0000078c,00000001,20409
00000808,00000001,20515
000007f8,00000002,20809
000007bc,00000001,20955
000007a8,00000002,21030
00000770,00000002,21339
0000078c,00000001,21493
000007a8,00000002,21572
0000077c,00000001,21882
000007b8,00000013,22056
00000808,00000001,22388
00000808,00000001,22835
00000770,00000002,23060
00000794,00000001,23443
000007d4,00000001,23875
00000818,00000001,24331
00000804,00000007,24837
000007dc,00000002,25322
000007dc,00000002,25807
00000808,00000001,26049
0000078c,00000001,26171
00000770,00000002,26473
000007d4,00000001,26623
000007d4,00000001,26699
00000808,00000001,27009
00000770,00000002,27405
000007d4,00000001,27602
000007d4,00000001,27973
00000794,00000001,28159
00000794,00000001,28492
00000770,00000002,28660
000007d4,00000001,28743
000007d4,00000001,29057
00000810,00000001,29454
000007a8,00000002,29654
000007a8,00000002,30044
000007e8,00000244,30332
0000078c,00000001,30621
000007a8,00000002,30719
00000814,00000001,30767
0000078c,00000001,30792
00000814,00000001,30805
00000794,00000001,30812
000007d4,00000001,30816
000007e8,00000244,31007
00000814,00000001,31090
00000814,00000001,31499
000007f8,00000002,31705
000007a8,00000002,31860
000007a8,00000002,32126
000007e8,00000244,32386
00000778,0000000c,32541
00000808,00000001,32733
0000077c,00000001,32835
00000818,00000001,33126
000007f0,00000001,33272
00000794,00000001,33617
00000818,00000001,33877
00000794,00000001,33921
000007b8,00000127,34084
000007dc,00000002,34184
00000804,00000007,34592
00000810,00000001,34788
000007d4,00000001,35161
00000890,0000000c,35359
0000086c,00000001,35442
00000770,00000002,35762
000007d4,00000001,35921
000007d4,00000001,36273
00000828,00000001,36721
00000818,00000001,37185
00000818,00000001,37689
000007a8,00000002,38182
000007b8,00000013,38685
00000794,00000001,39150
00000768,00000001,39392
000007d4,00000001,39753
00000768,00000001,39934
00000808,00000001,40025
0000078c,00000001,40071
000007dc,00000002,40335
000007d4,00000001,40466
00000804,00000007,40810
00000818,00000001,41245
00000770,00000002,41467
00000814,00000001,41577
00000810,00000001,41633
00000818,00000001,41901
00000808,00000001,42307
00000794,00000001,42782
00000808,00000001,43020
0000077c,00000001,43379
000007f0,00000001,43559
000007d4,00000001,43889
00000818,00000001,44326
000007d4,00000001,44545
00000794,00000001,44655
00000794,00000001,44950
00000770,00000002,45099
00000804,00000007,45450
0000077c,00000001,45889
000007b8,00000013,46130
00000794,00000001,46224
00000810,00000001,46520
00000804,00000007,46914
00000804,00000007,47380
00000808,00000001,47879
00000778,0000000c,48143
00000808,00000001,48259
00000830,00000001,48323
00000818,00000001,48595
00000814,00000001,49003
00000818,00000001,49479
00000794,00000001,49989
00000808,00000001,50484
000007a8,00000002,50733
000007d4,00000001,51096
0000077c,00000001,51518
000007b8,00000013,51987
00000794,00000001,52195
000007a8,00000002,52549
000007f0,00000001,52725
000007a8,00000002,52815
000007f8,00000002,52860
00000814,00000001,52882
000007dc,00000002,52895
00000848,00000001,53172
00000808,00000001,53583
000007f0,00000001,53789
00000810,00000001,54164
00000804,00000007,54358
00000808,00000001,54686
000007b8,00000013,55143
00000818,00000001,55345
000007dc,00000002,55728
0000078c,00000001,56158
00000770,00000002,56375
00000770,00000002,56755
0000077c,00000001,57184
000007f8,00000002,58222
000007e8,00000244,58446
00000778,0000000c,58649
00000778,0000000c,58858
000007f0,00000001,58952
000007bc,00000001,59005
00000810,00000001,59032
00000804,00000007,59331
00000778,0000000c,59476
000007e8,00000244,59625
00000814,00000001,60250
000007e8,00000244,60386
00000770,00000002,60473
0000078c,00000001,60855
00000808,00000001,61047
000007d4,00000001,61383
00000778,0000000c,61834
00000808,00000001,62283
000007f8,00000002,62786
00000768,00000001,63276
00000818,00000001,63522
000007dc,00000002,63886
00000778,0000000c,64078
00000768,00000001,64398
00000804,00000007,64570
00000804,00000007,64893
00000804,00000007,65055
000007f0,00000001,65370
00000810,00000001,65612
00000768,00000001,65653
00000778,0000000c,65685
000007f8,00000002,65686
00000768,00000001,65691
000007d4,00000001,65966
0000078c,00000001,66104
000007e8,00000244,66110
000007e8,000021e9,66319
0000077c,00000001,66445
0000077c,00000001,66616
0000077c,00000001,66702
00000804,00000007,67023
00000770,00000002,67176
00000768,00000001,67526
00000794,00000001,67702
00000768,00000001,68030
000007bc,00000001,68466
000007dc,00000002,68925
000007b8,00000013,69443
00000770,00000002,69677
000007f8,00000002,69803
000007f0,00000001,70105
00000778,0000000c,70268
000007bc,00000001,70605
00000850,00000001,71051
00000794,00000001,71514
00000818,00000001,71746
000007f8,00000002,72103
0000077c,00000001,72520
00000794,00000001,72969
00000778,0000000c,73205
00000770,00000002,73308
00000770,00000002,73365
00000808,00000001,73416
00000808,00000001,73692
000007b8,000001e5,73892
000007e8,00000244,73972
00000810,00000001,74102
00000818,00000001,74579
00000768,00000001,74818
000007a8,00000002,74939
00000778,0000000c,75639
000007e8,00000244,75817
0000077c,00000001,76095
00000818,00000001,76329
00000804,00000007,76692
0000077c,00000001,76865
000007b8,00000013,76973
00000770,00000002,77273
000007bc,00000001,77431
00000778,0000000c,77522
000007dc,00000002,77824
00000810,00000001,78219
00000770,00000002,78690
00000804,00000007,79202
000007b8,00000013,79835
00000770,00000002,80002
000007e8,00000244,80029
000007dc,00000002,80334
00000770,00000002,80772
000007f8,00000002,81231
00000808,00000001,81460
00000818,00000001,81815
000007a8,00000002,81994
00000778,0000000c,82333
00000808,00000001,82487
0000077c,00000001,82570
000007b8,00000013,82630
000007d4,00000001,83004
00000818,00000001,83070
000007d4,00000001,83375
000007e8,00000244,83452
000007dc,00000002,83529
000007f0,00000001,83644
000007f8,00000002,83665
00000768,00000001,83946
000007e8,00000244,84184
00000804,00000007,84365
00000778,0000000c,84577
00000818,00000001,84962
000007e8,00000244,85249
00000804,00000007,85354
000007f8,00000002,85814
00000818,00000001,86046
00000778,0000000c,86174
000007f8,00000002,86223
00000794,00000001,86252
000007b8,00000013,86557
00000818,00000001,86683
000007dc,00000002,87028
000007b8,00000013,87489
0000077c,00000001,87933
000007f0,00000001,88436
00000848,00000001,88688
0000077c,00000001,89054
00000814,00000001,89477
00000770,00000002,89690
000007bc,00000001,90067
00000768,00000001,90496
00000808,00000001,90711
000007d4,00000001,90819
00000818,00000001,91113
00000808,00000001,91500
00000768,00000001,91694
00000814,00000001,92063
000007f0,00000001,92248
000007dc,00000002,92342
000007d4,00000001,92388
00000804,00000007,92418
000007f8,00000002,92697
00000818,00000001,93110
000007f0,00000001,93589
00000794,00000001,93829
000007f8,00000002,94190
00000808,00000001,94609
00000818,00000001,95059
000007f8,00000002,95806
00000804,00000007,95936
00000770,00000002,95994
00000804,00000007,96031
000007e8,00000244,96135
00000814,00000001,96313
00000794,00000001,96729
00000768,00000001,97209
000007bc,00000001,97721
00000768,00000001,98217
000007f8,00000002,98706
000007f0,00000001,99189
000007d4,00000001,99671
00000794,00000001,100152
00000818,00000001,100393
00000808,00000001,100514
00000768,00000001,100575
000007f0,00000001,100606
000007d4,00000001,100622
0000078c,00000001,100902
000007b8,00000013,101332
00000768,00000001,101792
000007b8,00000013,102321
00000810,00000001,102559
000007f8,00000002,102928
00000768,00000001,103351
00000794,00000001,103803
00000818,00000001,104301
0000077c,00000001,104790
00000770,00000002,105036
00000768,00000001,105158
00000794,00000001,105220
000007dc,00000002,105492
000007f8,00000002,105628
00000770,00000002,105968
00000840,00000001,106409
00000804,00000007,107107
00000810,00000001,107217
000007e8,00000244,107449
00000768,00000001,107515
00000818,00000001,107904
0000078c,00000001,108099
000007b8,00000013,108215
00000770,00000002,108487
000007f8,00000002,108632
000007dc,00000002,108705
000007d4,00000001,108741
000007d4,00000001,108760
00000768,00000001,108770
00000770,00000002,109048
00000770,00000002,109257
000007b8,00000173,109556
000007f8,00000002,109564
00000808,00000001,109717
0000077c,00000001,110066
00000810,00000001,110241
000007d4,00000001,110329
00000778,0000000c,110656
000007dc,00000002,111044
00000808,00000001,111514
0000078c,00000001,111750
000007dc,00000002,112109
00000770,00000002,112528
00000778,0000000c,112748
000007bc,00000001,113114
000007b8,00000013,113321
000007b8,00000013,113416
00000814,00000001,113446
00000794,00000001,113710
000007dc,00000002,114115
00000818,00000001,114588
0000078c,00000001,115097
00000778,0000000c,115363
00000810,00000001,115480
00000810,00000001,115784
00000818,00000001,116176
00000770,00000002,116645
0000077c,00000001,117150
00000778,0000000c,117654
00000778,0000000c,118025
000007d4,00000001,118316
000007e8,00000244,118469
00000770,00000002,118708
00000810,00000001,118903
000007a8,00000002,119274
0000077c,00000001,119698
000007b8,00000013,119929
000007d4,00000001,120018
000007a8,00000002,120073
000007b8,00000013,120357
000007bc,00000001,120473
00000804,00000007,120818
000007f8,00000002,120983
00000794,00000001,121307
00000810,00000001,121470
0000077c,00000001,121552
00000778,0000000c,121876
000007b8,00000013,122040
000007dc,00000002,122102
000007f0,00000001,122141
00000808,00000001,122401
00000818,00000001,122803
000007a8,00000002,123277
00000794,00000001,123513
000007dc,00000002,123633
000007f8,00000002,123693
00000814,00000001,123962
000008a0,00000001,124369
00000770,00000002,124574
00000804,00000007,124953
000007f8,00000002,125375
000007bc,00000001,125588
000007b8,00000013,125985
00000760,00000001,126157
000007d4,00000001,126492
000007a8,00000002,126661
00000810,00000001,126984
0000077c,00000001,127418
0000078c,00000001,127875
00000804,00000007,128110
00000808,00000001,128219
00000810,00000001,128277
000007d4,00000001,128546
0000077c,00000001,128749
00000754,00000002,129056
000007e8,00000244,129260
