00000978,00000001,18
0000072c,00000001,299
00000944,00000001,440
00000640,00000001,511
000007a0,00000002,548
00000960,00000001,805
0000094c,00000001,1206
000008b8,00000004,1410
000008d0,00000002,1509
00000758,00000001,1559
000008c8,00000001,1585
0000092c,00000002,1871
000006a0,00000001,2013
00000664,00000004,2088
000008d0,00000002,2394
00000698,00000001,2787
00000960,00000001,3256
000008a4,00000001,3491
000006a8,00000001,3609
000008b8,00000004,3911
00000744,00000001,4058
000008e0,00000001,4405
000008bc,00000001,4579
00000938,00000008,4913
0000072c,00000001,5070
0000063c,00000004,5395
000008dc,00000008,5832
000008d0,00000002,6043
00000944,00000001,6151
0000090c,00000001,6206
00000898,00000001,6234
0000060c,00000001,6520
0000090c,00000001,6935
000008ac,00000002,7144
000008ac,00000002,7520
0000092c,00000002,7948
00000668,00000001,8401
00000954,00000001,8900
0000092c,00000002,9151
000006bc,00000002,9516
000008d0,00000002,9699
00000898,00000001,9790
00000898,00000001,10108
00000614,00000001,10507
000008e0,00000001,10707
000008bc,00000001,11079
0000092c,00000002,11506
00000898,00000001,12185
00000904,00000102,12215
00000674,00000001,12299
00000628,00000001,12596
000006e4,00000002,12746
00000960,00000001,12820
00000770,00000001,12858
00000688,00000002,13248
00000798,0000008d,13257
0000093c,00000001,13584
000008dc,00000014,13772
00000664,00000004,13841
00000890,00000001,13881
0000094c,00000001,13903
000008bc,00000001,14186
00000628,00000001,14328
00000918,00000001,14671
000008c8,00000001,14843
00000918,00000001,15169
00000744,00000001,15604
00000944,00000001,15822
000008ac,00000002,16204
00000938,00000008,16401
00000724,00000001,16490
00000938,00000008,16817
00000944,00000001,17210
00000918,00000001,17682
00000964,00000001,18190
00000628,00000001,18684
0000094c,00000001,19171
000008c8,00000001,19415
00000904,00000102,20034
0000092c,00000002,20199
000008dc,00000008,20416
00000668,00000001,20515
000008e0,00000001,20808
00000944,00000001,20955
000008ac,00000002,21339
00000904,00000152,21366
00000944,00000001,21493
00000888,00000001,21571
00000668,00000001,21882
00000724,00000001,22038
000007a0,00000002,22389
00000948,00000001,22835
000008bc,00000001,23059
000008f8,00000002,23444
0000079c,00000001,23875
000008bc,00000001,24331
000008d0,00000002,24832
0000076c,0000000e,25334
0000092c,00000002,25807
0000094c,00000001,26049
000008b8,00000004,26174
00000628,00000001,26472
0000094c,00000001,26623
00000938,00000011,26715
000007b0,00000001,27009
000008d0,00000002,27405
000008d0,00000002,27603
0000094c,00000001,27973
000008c8,00000001,28159
00000898,00000001,28492
000008f0,00000001,28659
00000918,00000001,28743
000008f0,00000001,29057
000008f0,00000001,29454
0000090c,00000001,29653
0000092c,00000002,29754
000008e0,00000001,30043
00000944,00000001,30428
000007d4,00000001,30621
000008f0,00000001,30718
00000948,00000001,30767
000008b8,00000004,30795
0000093c,00000001,30805
00000964,00000001,30812
00000630,00000002,30817
000006cc,00000001,31090
0000093c,00000001,31499
000008b8,00000004,31707
000008d0,00000002,31808
00000948,00000001,31859
000008d0,00000002,32126
00000918,00000001,32530
00000948,00000001,32733
00000898,00000001,32835
00000918,00000001,33126
0000094c,00000001,33272
000008d0,00000002,33618
0000094c,00000001,33790
000006a8,00000001,33877
00000654,00000002,33922
0000094c,00000001,34183
000008e0,00000001,34586
0000090c,00000001,34788
000008f0,00000001,35161
00000694,00000006,35353
0000090c,00000001,35442
00000918,00000001,35761
00000800,00000008,35928
000008f0,00000001,36273
0000094c,00000001,36721
0000061c,00000001,37185
00000918,00000001,37689
000008dc,00000008,38188
00000938,00000008,38674
000008c8,00000001,39150
00000904,0000009e,39549
0000093c,00000001,39753
0000094c,00000001,39934
000008f8,00000002,40026
00000694,00000006,40076
00000780,00000001,40334
00000938,00000008,40473
00000938,00000008,40811
00000898,00000001,41245
000006bc,00000002,41467
0000092c,00000002,41578
