00000820,00000001,1000
00000808,00000001,2000
00000840,00000001,3000
00000828,00000002,4001
000007cc,00000002,5001
00000844,00000001,6000
000007f8,00000002,7001
000007d4,0000000a,8009
00000818,00000011,9016
00000804,00000011,10016
00000838,00000001,11000
00000820,00000001,12000
000007c4,00000001,13000
00000840,00000001,14000
000007f0,00000001,15000
000007cc,00000002,16001
00000810,00000002,17001
000007f8,00000002,18001
00000834,00000007,19006
00000818,00000011,20016
00000848,00000001,21000
00000838,00000001,22000
000007d8,00000001,23000
000007c4,00000001,24000
00000808,00000001,25000
000007f0,00000001,26000
00000828,00000002,27001
00000810,00000002,28001
00000844,00000001,29000
00000834,00000007,30006
000007d4,0000000a,31009
00000848,00000001,32000
00000804,00000011,33016
000007d8,00000001,34000
00000820,00000001,35000
00000808,00000001,36000
00000840,00000001,37000
00000828,00000002,38001
000007cc,00000002,39001
00000844,00000001,40000
000007f8,00000002,41001
000007d4,0000000a,42009
00000848,00000001,43000
00000804,00000011,44016
000007d8,00000001,45000
00000820,00000001,46000
00000808,00000001,47000
00000840,00000001,48000
00000828,00000002,49001
000007cc,00000002,50001
00000844,00000001,51000
000007f8,00000002,52001
000007d4,0000000a,53009
00000818,00000011,54016
00000804,00000011,55016
00000838,00000001,56000
00000820,00000001,57000
000007c4,00000001,58000
00000840,00000001,59000
000007f0,00000001,60000
000007cc,00000002,61001
00000810,00000002,62001
000007f8,00000002,63001
00000834,00000007,64006
00000818,00000011,65016
00000848,00000001,66000
00000838,00000001,67000
000007d8,00000001,68000
000007c4,00000001,69000
00000808,00000001,70000
000007f0,00000001,71000
00000828,00000002,72001
00000810,00000002,73001
00000844,00000001,74000
00000834,00000007,75006
000007d4,0000000a,76009
00000848,00000001,77000
00000804,00000011,78016
000007d8,00000001,79000
00000820,00000001,80000
00000808,00000001,81000
00000840,00000001,82000
00000828,00000002,83001
000007cc,00000002,84001
00000844,00000001,85000
000007f8,00000002,86001
000007d4,0000000a,87009
00000848,00000001,88000
00000804,00000011,89016
000007d8,00000001,90000
00000820,00000001,91000
00000808,00000001,92000
00000840,00000001,93000
00000828,00000002,94001
000007cc,00000002,95001
00000844,00000001,96000
000007f8,00000002,97001
000007d4,0000000a,98009
00000818,00000011,99016
00000804,00000011,100016
00000838,00000001,101000
00000820,00000001,102000
000007c4,00000001,103000
00000840,00000001,104000
000007f0,00000001,105000
000007cc,00000002,106001
00000810,00000002,107001
000007f8,00000002,108001
00000834,00000007,109006
00000818,00000011,110016
00000848,00000001,111000
00000838,00000001,112000
000007d8,00000001,113000
000007c4,00000001,114000
00000808,00000001,115000
000007f0,00000001,116000
00000828,00000002,117001
00000810,00000002,118001
00000844,00000001,119000
00000834,00000007,120006
000007d4,0000000a,121009
00000848,00000001,122000
00000804,00000011,123016
000007d8,00000001,124000
00000820,00000001,125000
00000808,00000001,126000
00000840,00000001,127000
00000828,00000002,128001
000007cc,00000002,129001
00000844,00000001,130000
00000834,00000007,131006
000007d4,0000000a,132009
00000848,00000001,133000
00000804,00000011,134016
000007d8,00000001,135000
00000820,00000001,136000
00000808,00000001,137000
00000840,00000001,138000
00000828,00000002,139001
000007cc,00000002,140001
00000844,00000001,141000
000007f8,00000002,142001
000007d4,0000000a,143009
00000818,00000011,144016
00000804,00000011,145016
00000838,00000001,146000
00000820,00000001,147000
000007c4,00000001,148000
00000840,00000001,149000
000007f0,00000001,150000
000007cc,00000002,151001
00000810,00000002,152001
000007f8,00000002,153001
00000834,00000007,154006
00000818,00000011,155016
00000848,00000001,156000
00000838,00000001,157000
000007d8,00000001,158000
000007c4,00000001,159000
00000808,00000001,160000
000007f0,00000001,161000
00000828,00000002,162001
00000810,00000002,163001
00000844,00000001,164000
00000834,00000007,165006
000007d4,0000000a,166009
00000848,00000001,167000
00000804,00000011,168016
000007d8,00000001,169000
00000820,00000001,170000
00000808,00000001,171000
00000840,00000001,172000
00000828,00000002,173001
00000810,00000002,174001
00000844,00000001,175000
00000834,00000007,176006
000007d4,0000000a,177009
00000848,00000001,178000
00000804,00000011,179016
000007d8,00000001,180000
00000820,00000001,181000
00000808,00000001,182000
00000840,00000001,183000
00000828,00000002,184001
000007cc,00000002,185001
00000844,00000001,186000
000007f8,00000002,187001
000007d4,0000000a,188009
00000818,00000011,189016
00000804,00000011,190016
00000838,00000001,191000
00000820,00000001,192000
000007c4,00000001,193000
00000840,00000001,194000
000007f0,00000001,195000
000007cc,00000002,196001
00000810,00000002,197001
000007f8,00000002,198001
00000834,00000007,199006
00000818,00000011,200016
00000848,00000001,201000
00000838,00000001,202000
000007d8,00000001,203000
000007c4,00000001,204000
00000808,00000001,205000
000007f0,00000001,206000
00000828,00000002,207001
00000810,00000002,208001
00000844,00000001,209000
00000834,00000007,210006
000007d4,0000000a,211009
00000848,00000001,212000
00000804,00000011,213016
000007d8,00000001,214000
00000820,00000001,215000
00000808,00000001,216000
000007bc,00000001,217000
00000828,00000002,218001
00000810,00000002,219001
00000844,00000001,220000
00000834,00000007,221006
000007d4,0000000a,222009
00000848,00000001,223000
00000804,00000011,224016
000007d8,00000001,225000
00000820,00000001,226000
00000808,00000001,227000
00000840,00000001,228000
00000828,00000002,229001
000007cc,00000002,230001
00000844,00000001,231000
000007f8,00000002,232001
000007d4,0000000a,233009
00000818,00000011,234016
00000838,00000001,236000
00000820,00000001,237000
000007c4,00000001,238000
00000840,00000001,239000
000007f0,00000001,240000
000007cc,00000002,241001
00000810,00000002,242001
000007f8,00000002,243001
00000834,00000007,244006
00000818,00000011,245016
000008ec,00000001,246000
000008d4,00000001,247000
00000878,00000001,248000
000008f4,00000001,249000
000008a4,00000001,250000
00000880,00000002,251001
000008c4,00000002,252001
000008ac,00000002,253001
000008e8,00000007,254006
000008cc,00000011,255016
000008fc,00000001,256000
000008ec,00000001,257000
0000088c,00000001,258000
00000878,00000001,259000
000008bc,00000001,260000
000008a4,00000001,261000
00000880,00000002,262001
000008c4,00000002,263001
000008ac,00000002,264001
000008e8,00000007,265006
000008cc,00000011,266016
000008fc,00000001,267000
000008ec,00000001,268000
0000088c,00000001,269000
00000878,00000001,270000
000008bc,00000001,271000
000008a4,00000001,272000
000008dc,00000002,273001
000008c4,00000002,274001
000008f8,00000001,275000
000008e8,00000007,276006
00000888,0000000a,277009
000008fc,00000001,278000
0000088c,00000001,280000
000008d4,00000001,281000
000008b8,000007ff,281046
000008bc,00000001,282000
000008f4,00000001,283000
000008dc,00000002,284001
00000880,00000002,285001
000008f8,00000001,286000
000008ac,00000002,287001
00000888,0000000a,288009
000008cc,00000011,289016
000008ec,00000001,291000
000008d4,00000001,292000
000008b8,000007ff,292046
00000878,00000001,293000
000008f4,00000001,294000
000008a4,00000001,295000
00000880,00000002,296001
000008c4,00000002,297001
000008ac,00000002,298001
000008e8,00000007,299006
000008cc,00000011,300016
000008fc,00000001,301000
000008ec,00000001,302000
0000088c,00000001,303000
00000878,00000001,304000
000008f4,00000001,305000
000008a4,00000001,306000
00000880,00000002,307001
000008c4,00000002,308001
000008ac,00000002,309001
000008e8,00000007,310006
000008cc,00000011,311016
000008fc,00000001,312000
000008ec,00000001,313000
0000088c,00000001,314000
00000878,00000001,315000
000008bc,00000001,316000
000008a4,00000001,317000
000008dc,00000002,318001
000008c4,00000002,319001
000008f8,00000001,320000
000008e8,00000007,321006
00000888,0000000a,322009
000008fc,00000001,323000
0000088c,00000001,325000
000008d4,00000001,326000
000008b8,000007ff,326046
000008bc,00000001,327000
000008f4,00000001,328000
000008dc,00000002,329001
00000880,00000002,330001
000008f8,00000001,331000
000008ac,00000002,332001
00000888,0000000a,333009
000008cc,00000011,334016
000008ec,00000001,336000
000008d4,00000001,337000
000008b8,000007ff,337046
00000878,00000001,338000
000008f4,00000001,339000
000008a4,00000001,340000
